vehicletype,vehiclemodel,vehicleprimaryuse,vehicleregistrationnumber,label
0,94,9,1,35
0,93,12,1,13
0,94,9,3,35
0,94,9,2,35
0,87,9,1,37
0,93,12,2,13
0,95,12,2,8
0,95,12,1,8
0,94,9,6,35
0,94,9,8,35
0,63,9,2,28
2,113,9,2,8
0,63,9,4,28
0,93,1,4,13
0,94,9,5,35
0,63,9,6,28
0,63,9,3,28
0,63,9,8,28
0,63,9,12,28
0,63,9,14,28
0,63,9,10,28
2,113,9,4,8
0,63,9,22,28
0,63,9,18,28
0,63,9,20,28
0,63,9,25,28
0,63,2,2,28
0,63,9,42,28
0,63,2,6,28
0,63,2,10,28
0,63,2,8,28
0,63,9,26,28
0,63,9,24,28
0,63,9,36,28
0,63,9,46,28
0,63,9,16,28
0,63,9,40,28
0,63,9,38,28
0,63,1,2,28
0,63,9,74,28
0,63,9,31,28
0,63,2,4,28
0,63,9,13,28
0,63,2,18,28
0,63,2,1,28
0,63,9,7,28
0,63,9,9,28
2,113,9,6,8
2,113,9,8,8
0,63,9,11,28
2,113,9,10,8
0,63,9,5,28
2,113,9,12,8
2,113,9,9,8
0,63,9,15,28
0,94,9,4,35
2,113,9,3,8
0,63,9,1,28
2,113,9,1,8
2,113,2,2,8
2,113,9,5,8
2,79,9,2,37
2,79,9,4,37
2,79,9,8,37
2,79,9,10,37
2,79,9,6,37
2,113,9,14,8
2,113,9,7,8
0,93,1,1,13
2,79,9,12,37
0,63,1,1,28
0,63,9,28,28
0,63,9,17,28
0,63,9,19,28
0,63,5,1,28
2,113,9,24,8
2,79,9,3,37
2,113,2,6,8
0,44,9,2,13
2,79,9,7,37
2,113,9,19,8
2,113,5,1,8
2,113,9,16,8
0,67,9,2,35
2,113,9,15,8
2,113,9,23,8
0,63,9,21,28
2,113,9,11,8
2,113,1,2,8
2,113,9,25,8
2,79,9,1,37
0,67,9,6,35
0,63,9,41,28
2,113,9,17,8
0,67,9,10,35
0,44,9,4,13
2,113,9,13,8
2,113,9,20,8
2,20,9,6,13
0,63,9,52,28
2,20,1,2,13
0,63,9,61,28
2,113,9,21,8
2,20,9,2,13
2,20,9,4,13
0,67,9,8,35
2,20,9,14,13
0,67,9,12,35
2,20,9,10,13
0,63,9,34,28
2,20,9,8,13
2,20,12,2,13
0,63,9,33,28
0,67,9,20,35
0,63,9,44,28
0,87,9,2,37
0,44,9,6,13
0,67,9,14,35
0,63,9,43,28
0,67,9,1,35
0,67,9,38,35
0,67,9,24,35
0,67,9,18,35
0,67,9,36,35
0,67,1,2,35
0,67,9,22,35
0,67,9,4,35
0,67,9,34,35
0,63,9,39,28
0,67,9,66,35
0,67,9,42,35
0,67,9,82,35
0,63,9,53,28
0,67,9,30,35
2,47,9,2,13
2,47,9,4,13
2,79,9,5,37
0,63,9,35,28
0,63,9,27,28
0,67,9,62,35
0,63,9,37,28
2,47,1,2,13
0,63,9,23,28
0,67,5,2,35
0,63,9,48,28
2,47,9,6,13
0,63,9,30,28
0,63,9,57,28
0,63,9,58,28
0,63,9,62,28
0,63,9,49,28
0,67,9,44,35
2,113,2,4,8
0,63,9,45,28
0,63,9,32,28
0,67,9,72,35
0,63,9,51,28
0,67,9,26,35
0,63,9,50,28
0,67,9,53,35
0,63,9,29,28
2,79,9,13,37
0,44,9,3,13
0,44,9,5,13
0,67,9,16,35
0,44,9,1,13
0,67,12,2,35
0,63,9,56,28
2,113,1,1,8
0,63,9,55,28
2,113,9,22,8
0,63,9,64,28
2,47,9,5,13
0,67,9,19,35
2,20,9,1,13
2,79,2,2,37
0,63,9,60,28
0,67,9,27,35
0,63,9,54,28
0,63,9,47,28
0,67,9,28,35
2,20,1,1,13
2,20,9,9,13
0,63,9,71,28
0,87,1,2,37
0,63,9,59,28
2,20,9,12,13
2,20,9,7,13
2,20,12,1,13
0,44,1,4,13
0,67,9,32,35
2,20,9,5,13
0,67,9,3,35
2,20,9,11,13
0,67,9,17,35
2,20,9,3,13
0,67,9,13,35
0,67,9,11,35
2,113,9,27,8
0,67,9,21,35
0,67,9,5,35
2,47,9,10,13
0,44,9,7,13
2,47,1,1,13
0,67,9,7,35
2,47,9,8,13
0,67,9,35,35
