vehicletype,vehiclemodel,vehicleprimaryuse,vehicleregistrationnumber,label
0,94,9,1,35
0,94,9,1,35
0,93,12,1,13
0,94,9,1,35
0,94,9,3,35
0,94,9,1,35
0,94,9,1,35
0,94,9,2,35
0,94,9,1,35
0,94,9,1,35
0,93,12,1,13
0,94,9,3,35
0,87,9,1,37
0,94,9,1,35
0,93,12,1,13
0,94,9,2,35
0,94,9,1,35
0,93,12,1,13
0,93,12,1,13
0,94,9,1,35
0,93,12,1,13
0,94,9,2,35
0,94,9,1,35
0,94,9,1,35
0,93,12,1,13
0,94,9,1,35
0,94,9,1,35
0,94,9,2,35
2,115,2,2,40
0,94,9,1,35
0,94,9,1,35
0,94,9,2,35
0,94,9,1,35
0,94,9,2,35
0,93,12,1,13
0,94,9,2,35
0,94,9,1,35
0,93,12,1,13
0,94,9,1,35
0,93,12,1,13
0,87,9,1,37
0,94,9,2,35
0,94,9,1,35
0,94,9,1,35
0,93,12,1,13
0,94,9,3,35
0,94,9,1,35
0,94,9,1,35
0,93,12,2,13
0,94,9,1,35
0,94,9,1,35
0,94,9,1,35
0,93,12,1,13
0,95,12,2,8
0,93,12,1,13
0,94,9,1,35
0,94,9,1,35
0,95,12,1,8
0,95,12,2,8
0,94,9,2,35
0,93,12,1,13
0,87,9,1,37
0,93,12,1,13
2,115,7,2,40
0,94,9,2,35
0,94,9,6,35
2,115,9,1,40
2,115,9,1,40
0,94,9,1,35
0,94,9,2,35
0,94,9,1,35
0,95,12,1,8
0,94,9,1,35
0,94,9,8,35
0,93,12,1,13
0,94,9,1,35
0,63,9,2,28
2,113,9,2,8
0,94,9,2,35
2,113,9,2,8
0,94,9,1,35
0,63,9,4,28
0,63,9,2,28
0,94,9,1,35
0,63,9,2,28
0,94,9,1,35
0,63,9,2,28
0,93,1,4,13
0,94,9,5,35
0,93,12,1,13
0,63,9,2,28
0,94,9,1,35
2,113,9,2,8
0,63,9,6,28
0,94,9,1,35
2,113,9,2,8
0,94,9,1,35
0,63,9,2,28
0,94,9,1,35
0,63,9,2,28
2,113,9,2,8
0,94,9,1,35
0,94,9,1,35
0,63,9,2,28
0,63,9,2,28
0,63,9,2,28
0,93,12,1,13
0,94,9,1,35
0,94,9,1,35
0,63,9,4,28
0,94,9,1,35
2,113,9,2,8
0,94,9,1,35
2,113,9,2,8
0,94,9,1,35
0,93,12,1,13
0,63,9,6,28
0,63,9,2,28
2,113,9,2,8
0,63,9,6,28
0,93,12,1,13
0,63,9,2,28
0,63,9,3,28
0,94,9,3,35
0,63,9,2,28
0,94,9,1,35
2,113,9,2,8
0,63,9,8,28
0,63,9,6,28
2,113,9,2,8
0,63,9,2,28
0,63,9,12,28
0,63,9,2,28
0,63,9,6,28
0,94,9,1,35
0,63,9,4,28
0,63,9,4,28
0,63,9,14,28
0,63,9,10,28
0,63,9,2,28
